Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_6_139,VSS,Metal1,72.9600,37.8000,0.001650
FILLER_6_111,VSS,Metal1,59.2800,37.8000,0.001546
FILLER_6_64,VSS,Metal1,36.9600,37.8000,0.000899
FILLER_6_60,VSS,Metal1,35.5080,38.1760,0.000883
FILLER_6_48,VSS,Metal1,29.7480,38.1760,0.000594
FILLER_6_41,VSS,Metal1,27.1260,38.2600,0.000224
FILLER_5_108,VSS,Metal1,57.8400,37.8000,0.001481
FILLER_5_75,VSS,Metal1,42.2400,37.8000,0.001113
FILLER_5_65,VSS,Metal1,37.2000,37.8000,0.000899
FILLER_5_61,VSS,Metal1,35.9880,37.4230,0.000883
FILLER_5_54,VSS,Metal1,33.3660,37.3390,0.000624
FILLER_5_47,VSS,Metal1,30.0060,37.3390,0.000594
FILLER_5_10,VSS,Metal1,10.8000,37.8000,0.000226
FILLER_5_4,VSS,Metal1,8.1600,37.8000,0.000227
FILLER_4_149,VSS,Metal1,77.5200,30.2400,0.000587
FILLER_4_147,VSS,Metal1,76.8000,30.2400,0.000587
FILLER_4_111,VSS,Metal1,59.2800,30.2400,0.000520
FILLER_4_104,VSS,Metal1,57.3660,30.7000,0.000497
FILLER_4_97,VSS,Metal1,54.0060,30.7000,0.000324
FILLER_4_35,VSS,Metal1,22.8000,30.2400,0.000463
FILLER_4_33,VSS,Metal1,22.0800,30.2400,0.000463
FILLER_3_140,VSS,Metal1,73.2000,30.2400,0.000575
FILLER_3_138,VSS,Metal1,72.4800,30.2400,0.000574
FILLER_3_110,VSS,Metal1,58.8000,30.2400,0.000497
FILLER_3_108,VSS,Metal1,58.0800,30.2400,0.000497
FILLER_3_70,VSS,Metal1,39.8400,30.2400,0.000192
FILLER_3_7,VSS,Metal1,9.3600,30.2400,0.000466
FILLER_3_0,VSS,Metal1,7.4460,29.7790,0.000467
FILLER_2_149,VSS,Metal1,77.5200,22.6800,0.000822
FILLER_2_116,VSS,Metal1,61.6800,22.6800,0.000686
FILLER_2_112,VSS,Metal1,60.4680,23.0560,0.000686
FILLER_2_105,VSS,Metal1,57.8460,23.1400,0.000553
FILLER_2_41,VSS,Metal1,25.6800,22.6800,0.000086
FILLER_2_39,VSS,Metal1,24.9600,22.6800,0.000077
FILLER_2_15,VSS,Metal1,13.2000,22.6800,0.000080
FILLER_2_8,VSS,Metal1,11.2860,23.1400,0.000080
FILLER_1_123,VSS,Metal1,65.2800,22.6800,0.000820
FILLER_1_119,VSS,Metal1,63.8280,22.3030,0.000820
FILLER_1_112,VSS,Metal1,61.2060,22.2190,0.000686
FILLER_1_105,VSS,Metal1,57.8460,22.2190,0.000553
FILLER_1_95,VSS,Metal1,51.6000,22.6800,0.000402
FILLER_1_93,VSS,Metal1,50.8800,22.6800,0.000402
FILLER_1_68,VSS,Metal1,38.6400,22.6800,0.000318
FILLER_1_37,VSS,Metal1,23.7600,22.6800,0.000077
FILLER_1_35,VSS,Metal1,23.0400,22.6800,0.000078
FILLER_1_28,VSS,Metal1,20.8860,22.2190,0.000078
FILLER_1_23,VSS,Metal1,17.0400,22.6800,0.000079
FILLER_1_19,VSS,Metal1,15.8280,22.3030,0.000079
FILLER_1_12,VSS,Metal1,13.2060,22.2190,0.000080
FILLER_0_149,VSS,Metal1,77.5200,15.1200,0.000149
FILLER_0_128,VSS,Metal1,67.4400,15.1200,0.000120
FILLER_0_124,VSS,Metal1,66.2280,15.4960,0.000120
FILLER_0_117,VSS,Metal1,63.6060,15.5800,0.000117
FILLER_0_110,VSS,Metal1,60.2460,15.5800,0.000113
FILLER_0_103,VSS,Metal1,56.8860,15.5800,0.000110
FILLER_0_96,VSS,Metal1,53.5260,15.5800,0.000107
FILLER_0_89,VSS,Metal1,50.1660,15.5800,0.000103
FILLER_0_79,VSS,Metal1,44.1600,15.1200,0.000081
FILLER_0_72,VSS,Metal1,42.0060,15.5800,0.000079
FILLER_0_65,VSS,Metal1,38.6460,15.5800,0.000075
FILLER_0_43,VSS,Metal1,26.6400,15.1200,0.000008
FILLER_0_39,VSS,Metal1,25.4280,15.4960,0.000007
FILLER_0_32,VSS,Metal1,22.8060,15.5800,0.000007
FILLER_0_25,VSS,Metal1,19.4460,15.5800,0.000007
FILLER_0_18,VSS,Metal1,16.0860,15.5800,0.000007
FILLER_0_11,VSS,Metal1,12.7260,15.5800,0.000007
FILLER_0_4,VSS,Metal1,9.3660,15.5800,0.000007
hold102,VSS,Metal1,46.8410,30.0320,0.000311
hold101,VSS,Metal1,71.2380,52.7120,0.002085
hold100,VSS,Metal1,71.8010,30.4470,0.000574
hold99,VSS,Metal1,39.1610,52.7120,0.001554
hold98,VSS,Metal1,36.2810,60.2720,0.000311
hold97,VSS,Metal1,36.7610,82.9520,0.000131
hold96,VSS,Metal1,36.2810,22.4720,0.000318
hold95,VSS,Metal1,20.9210,60.6870,0.000210
hold94,VSS,Metal1,17.0810,45.5670,0.000151
hold93,VSS,Metal1,26.2010,37.5920,0.000224
hold92,VSS,Metal1,56.9210,38.0070,0.001481
hold91,VSS,Metal1,59.8010,52.7120,0.001772
hold90,VSS,Metal1,73.7210,75.3920,0.000815
hold89,VSS,Metal1,48.1980,75.8070,0.000327
hold88,VSS,Metal1,74.2010,75.8070,0.000815
hold87,VSS,Metal1,28.1210,22.8870,0.000162
hold86,VSS,Metal1,31.9610,22.4720,0.000311
hold85,VSS,Metal1,38.2010,30.4470,0.000179
hold84,VSS,Metal1,70.8410,45.5670,0.000704
hold83,VSS,Metal1,75.5580,45.5670,0.000730
hold82,VSS,Metal1,75.5580,38.0070,0.001650
hold81,VSS,Metal1,39.5580,38.0070,0.001099
hold80,VSS,Metal1,43.9610,45.1520,0.000571
hold79,VSS,Metal1,58.7580,45.5670,0.000638
hold78,VSS,Metal1,65.5610,82.9520,0.000209
hold77,VSS,Metal1,68.8380,75.3920,0.000792
hold76,VSS,Metal1,64.5180,75.3920,0.000792
hold75,VSS,Metal1,44.8380,60.6870,0.000519
hold74,VSS,Metal1,57.4010,67.8320,0.001308
hold73,VSS,Metal1,60.1980,60.2720,0.000550
hold72,VSS,Metal1,67.4810,30.4470,0.000573
hold71,VSS,Metal1,75.5580,22.4720,0.000822
hold70,VSS,Metal1,75.6410,30.0320,0.000587
hold69,VSS,Metal1,42.5210,30.0320,0.000311
hold68,VSS,Metal1,51.0780,30.0320,0.000311
hold67,VSS,Metal1,54.0410,22.4720,0.000402
hold66,VSS,Metal1,28.6010,75.8070,0.000196
hold65,VSS,Metal1,32.4410,82.9520,0.000115
hold64,VSS,Metal1,38.2010,83.3670,0.000134
hold63,VSS,Metal1,31.4810,67.8320,0.000364
hold62,VSS,Metal1,35.8010,67.8320,0.000364
hold61,VSS,Metal1,40.6010,60.2720,0.000318
hold60,VSS,Metal1,30.5210,45.1520,0.000468
hold59,VSS,Metal1,30.5210,52.7120,0.001497
hold58,VSS,Metal1,34.8410,52.7120,0.001497
hold57,VSS,Metal1,69.8810,60.2720,0.000598
hold56,VSS,Metal1,75.6410,52.7120,0.002090
hold55,VSS,Metal1,75.5580,60.2720,0.000605
hold54,VSS,Metal1,8.3580,45.5670,0.000159
hold53,VSS,Metal1,12.7610,45.5670,0.000151
hold52,VSS,Metal1,21.4010,45.5670,0.000146
hold51,VSS,Metal1,47.2380,75.3920,0.000327
hold50,VSS,Metal1,44.9210,82.9520,0.000181
hold49,VSS,Metal1,42.9180,75.3920,0.000207
hold48,VSS,Metal1,15.6410,30.4470,0.000466
hold47,VSS,Metal1,18.0410,22.8870,0.000079
hold46,VSS,Metal1,22.3610,22.8870,0.000078
hold45,VSS,Metal1,12.2810,60.6870,0.000210
hold44,VSS,Metal1,16.5180,60.6870,0.000210
hold43,VSS,Metal1,25.2410,60.6870,0.000107
hold42,VSS,Metal1,9.7980,75.8070,0.000126
clkbuf_3_7__f_clk_i,VSS,Metal1,71.7600,68.4290,0.001391
clkbuf_3_6__f_clk_i,VSS,Metal1,53.0400,60.8690,0.000542
clkbuf_3_5__f_clk_i,VSS,Metal1,71.7600,37.4100,0.001650
clkbuf_3_4__f_clk_i,VSS,Metal1,52.0800,44.9700,0.000638
