Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_6_139,VDD,Metal1,72.9600,41.5800,1.199413
FILLER_6_111,VDD,Metal1,59.2800,41.5800,1.199421
FILLER_6_64,VDD,Metal1,36.9600,41.5800,1.199656
FILLER_6_60,VDD,Metal1,35.5310,40.9830,1.199656
FILLER_6_48,VDD,Metal1,29.7710,40.9830,1.199727
FILLER_6_41,VDD,Metal1,27.1290,40.9810,1.199784
FILLER_5_108,VDD,Metal1,57.8400,34.0200,1.195925
FILLER_5_75,VDD,Metal1,42.2400,34.0200,1.195964
FILLER_5_65,VDD,Metal1,37.2000,34.0200,1.199363
FILLER_5_61,VDD,Metal1,36.0110,34.6160,1.199492
FILLER_5_54,VDD,Metal1,33.3690,34.6180,1.199741
FILLER_5_47,VDD,Metal1,30.0090,34.6180,1.199741
FILLER_5_10,VDD,Metal1,10.8000,34.0200,1.199782
FILLER_5_4,VDD,Metal1,8.1600,34.0200,1.199782
FILLER_4_149,VDD,Metal1,77.5200,34.0200,1.194799
FILLER_4_147,VDD,Metal1,76.8000,34.0200,1.194799
FILLER_4_111,VDD,Metal1,59.2800,34.0200,1.194923
FILLER_4_104,VDD,Metal1,57.3690,33.4210,1.195925
FILLER_4_97,VDD,Metal1,54.0090,33.4210,1.195954
FILLER_4_35,VDD,Metal1,22.8000,34.0200,1.199782
FILLER_4_33,VDD,Metal1,22.0800,34.0200,1.199782
FILLER_3_140,VDD,Metal1,73.2000,26.4600,1.198880
FILLER_3_138,VDD,Metal1,72.4800,26.4600,1.198880
FILLER_3_110,VDD,Metal1,58.8000,26.4600,1.199271
FILLER_3_108,VDD,Metal1,58.0800,26.4600,1.199271
FILLER_3_70,VDD,Metal1,39.8400,26.4600,1.199388
FILLER_3_7,VDD,Metal1,9.3600,26.4600,1.199798
FILLER_3_0,VDD,Metal1,7.4490,27.0580,1.199798
FILLER_2_149,VDD,Metal1,77.5200,26.4600,1.198875
FILLER_2_116,VDD,Metal1,61.6800,26.4600,1.198880
FILLER_2_112,VDD,Metal1,60.4910,25.8630,1.198880
FILLER_2_105,VDD,Metal1,57.8490,25.8610,1.199271
FILLER_2_41,VDD,Metal1,25.6800,26.4600,1.199601
FILLER_2_39,VDD,Metal1,24.9600,26.4600,1.199602
FILLER_2_15,VDD,Metal1,13.2000,26.4600,1.199798
FILLER_2_8,VDD,Metal1,11.2890,25.8610,1.199798
FILLER_1_123,VDD,Metal1,65.2800,18.9000,1.191274
FILLER_1_119,VDD,Metal1,63.8510,19.4960,1.191275
FILLER_1_112,VDD,Metal1,61.2090,19.4980,1.191277
FILLER_1_105,VDD,Metal1,57.8490,19.4980,1.191283
FILLER_1_95,VDD,Metal1,51.6000,18.9000,1.191298
FILLER_1_93,VDD,Metal1,50.8800,18.9000,1.191298
FILLER_1_68,VDD,Metal1,38.6400,18.9000,1.191362
FILLER_1_37,VDD,Metal1,23.7600,18.9000,1.199869
FILLER_1_35,VDD,Metal1,23.0400,18.9000,1.199869
FILLER_1_28,VDD,Metal1,20.8890,19.4980,1.199956
FILLER_1_23,VDD,Metal1,17.0400,18.9000,1.199958
FILLER_1_19,VDD,Metal1,15.8510,19.4960,1.199958
FILLER_1_12,VDD,Metal1,13.2090,19.4980,1.199958
FILLER_0_149,VDD,Metal1,77.5200,18.9000,1.191172
FILLER_0_128,VDD,Metal1,67.4400,18.9000,1.191259
FILLER_0_124,VDD,Metal1,66.2510,18.3030,1.191270
FILLER_0_117,VDD,Metal1,63.6090,18.3010,1.191275
FILLER_0_110,VDD,Metal1,60.2490,18.3010,1.191281
FILLER_0_103,VDD,Metal1,56.8890,18.3010,1.191286
