net,length_um
_02111_,49.62µm
comm_mem_u0.o_img_row00\[2\],49.565µm
_02348_,49.56µm
net533,49.47µm
comm_mem_u0.o_img_row08\[25\],49.38µm
net706,49.335µm
_01894_,49.16µm
_02802_,49.15µm
net898,49.13µm
comm_mem_u0.reg_wgt_u4.Register_Weight_DataInBUS\[6\],49.005µm
_05075_,48.9µm
_05487_,48.68µm
net509,48.67µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[15\],48.505µm
_04200_,48.49µm
_03188_,48.42µm
_03815_,48.335µm
_01681_,48.265µm
net99,48.265µm
_01863_,48.23µm
_05626_,48.21µm
net301,48.165µm
_01728_,48.075µm
_01337_,48.055µm
comm_mem_u0.o_img_row03\[21\],48µm
_02323_,47.94µm
_03429_,47.88µm
_03069_,47.83µm
_05311_,47.77µm
_03554_,47.65µm
_04534_,47.65µm
_05412_,47.645µm
_04115_,47.505µm
net184,47.48µm
_03164_,47.345µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[36\],47.315µm
_01918_,47.25µm
_04469_,47.225µm
_04421_,47.22µm
comm_mem_u0.spi_u0.loader_image_sm.STATE_Signal,47.195µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[24\],47.18µm
_05738_,47.17µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.state\[2\],47.17µm
_06603_,47.16µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[71\],47.095µm
_04195_,46.965µm
_05538_,46.92µm
_01357_,46.84µm
_01539_,46.805µm
_03545_,46.625µm
_05564_,46.58µm
_04719_,46.57µm
_01938_,46.5µm
_04385_,46.39µm
_02149_,46.375µm
_06521_,46.36µm
_04813_,46.33µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[3\],46.33µm
_06104_,46.315µm
comm_mem_u0.spi_u0.loader_image_sm.row_latch\[2\],46.28µm
_02200_,46.245µm
_01488_,46.145µm
_04623_,46.07µm
_01371_,45.97µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[4\],45.91µm
_04308_,45.895µm
_01979_,45.855µm
_05007_,45.815µm
_05297_,45.78µm
_01374_,45.75µm
_05547_,45.6µm
_02529_,45.56µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[12\],45.545µm
_02817_,45.525µm
_05363_,45.49µm
_02465_,45.48µm
_02759_,45.48µm
_06001_,45.43µm
net1065,45.4µm
_06085_,45.39µm
_05801_,45.32µm
_02772_,45.12µm
_05086_,45.12µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[2\],45.085µm
_06291_,45µm
_05244_,44.965µm
net1077,44.925µm
_03845_,44.89µm
_03597_,44.875µm
acc0\[13\],44.775µm
_02468_,44.765µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.state\[5\],44.745µm
_03323_,44.71µm
comm_mem_u0.spi_u0.loader_weight_sm.i_WROW\[2\],44.71µm
_04310_,44.7µm
comm_mem_u0.o_img_row07\[26\],44.675µm
_04189_,44.58µm
_04165_,44.52µm
_02212_,44.49µm
_05165_,44.435µm
comm_mem_u0.o_img_row01\[3\],44.19µm
_05793_,44.16µm
_01355_,43.98µm
_05585_,43.98µm
_04439_,43.94µm
_03199_,43.855µm
net991,43.85µm
_04667_,43.84µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[14\],43.815µm
_04809_,43.81µm
_04973_,43.76µm
_03889_,43.72µm
_02897_,43.685µm
_02960_,43.68µm
_01638_,43.625µm
_05541_,43.62µm
net923,43.585µm
_05747_,43.57µm
_06570_,43.56µm
_04717_,43.53µm
_02173_,43.51µm
_02524_,43.39µm
_01545_,43.35µm
_03584_,43.26µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[6\],43.235µm
_04478_,43.2µm
_03950_,43.08µm
_05152_,43.08µm
_03734_,42.98µm
_03656_,42.97µm
comm_mem_u0.spi_u0.miso_count\[1\],42.855µm
_04688_,42.72µm
net479,42.72µm
_02387_,42.675µm
net572,42.675µm
_06140_,42.67µm
_03197_,42.66µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[11\],42.645µm
_05691_,42.55µm
_05986_,42.54µm
comm_mem_u0.o_img_row08\[28\],42.505µm
_02177_,42.49µm
_01377_,42.485µm
_06067_,42.435µm
_03568_,42.36µm
_03463_,42.31µm
comm_mem_u0.o_img_row08\[27\],42.28µm
_04750_,42.18µm
_02525_,42.12µm
_05853_,42.07µm
_04155_,42.06µm
_02821_,42.045µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[38\],42.02µm
_02522_,42.01µm
_02541_,42.01µm
_05990_,42.01µm
_02889_,42µm
proc_u0.cnn_ctrl_u0.cnn_acc\[13\],41.96µm
_01362_,41.95µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[34\],41.91µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[10\],41.89µm
_04759_,41.84µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[8\],41.81µm
_03221_,41.76µm
_02307_,41.735µm
_04571_,41.71µm
_02420_,41.625µm
_01568_,41.62µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[43\],41.575µm
_02781_,41.53µm
_04471_,41.53µm
net544,41.505µm
_01625_,41.495µm
net1036,41.48µm
_04442_,41.47µm
_02486_,41.44µm
_01340_,41.435µm
_01926_,41.43µm
_04039_,41.42µm
_03960_,41.35µm
_05584_,41.34µm
_02227_,41.3µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[10\],41.3µm
comm_mem_u0.o_img_row08\[4\],41.25µm
net1103,41.24µm
proc_u0.cnn_ctrl_u0.state\[3\],41.23µm
net882,41.195µm
_01574_,41.17µm
_05830_,41.16µm
_04401_,41.05µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[15\],41.045µm
_03911_,41.04µm
_02664_,41µm
_04031_,40.93µm
_01365_,40.86µm
_01834_,40.86µm
_03818_,40.84µm
_02039_,40.81µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.state\[9\],40.74µm
_02007_,40.68µm
_02219_,40.68µm
_04753_,40.62µm
_01381_,40.59µm
_05682_,40.57µm
_04210_,40.56µm
_01650_,40.46µm
_04488_,40.46µm
_05256_,40.46µm
_02171_,40.45µm
_05319_,40.45µm
comm_mem_u0.o_img_row06\[11\],40.39µm
_01836_,40.29µm
_05622_,40.225µm
_05690_,40.17µm
_03934_,40.14µm
comm_mem_u0.o_img_row08\[6\],40.11µm
_03180_,39.96µm
_05752_,39.9µm
_02118_,39.865µm
_02990_,39.85µm
_01813_,39.835µm
_04180_,39.8µm
_04530_,39.79µm
_02024_,39.74µm
_04249_,39.73µm
_02507_,39.67µm
_03198_,39.67µm
comm_mem_u0.o_img_row00\[13\],39.61µm
_01806_,39.505µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[7\],39.465µm
_02170_,39.45µm
_03337_,39.45µm
_02425_,39.435µm
comm_mem_u0.o_wgt_row04\[2\],39.345µm
_00101_,39.25µm
_01354_,39.25µm
_05249_,39.25µm
_03492_,39.24µm
_06119_,39.17µm
_01811_,39.1µm
_01951_,38.9µm
comm_mem_u0.o_img_row00\[4\],38.85µm
_04984_,38.835µm
_04992_,38.83µm
_05489_,38.76µm
comm_mem_u0.spi_u0.miso_count\[0\],38.76µm
_01976_,38.72µm
_05621_,38.71µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[0\],38.705µm
_03033_,38.66µm
_04274_,38.59µm
_03561_,38.55µm
_02880_,38.52µm
_05089_,38.515µm
_03213_,38.455µm
_04265_,38.335µm
_03431_,38.305µm
_06224_,38.28µm
_01356_,38.27µm
_01352_,38.265µm
_05851_,38.225µm
_05771_,38.19µm
_01814_,38.16µm
_01880_,38.16µm
_01615_,38.145µm
net737,38.105µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[5\],38.03µm
_01924_,37.99µm
_06117_,37.99µm
_04685_,37.94µm
_03507_,37.885µm
_03060_,37.785µm
_03990_,37.45µm
_04972_,37.45µm
_05274_,37.425µm
_02860_,37.27µm
_05772_,37.26µm
_03594_,37.2µm
_06172_,37.2µm
_03883_,37.15µm
_05688_,37.14µm
_01952_,37.125µm
_01343_,37.1µm
_02818_,37.08µm
_02156_,37.065µm
_03572_,36.98µm
net1041,36.935µm
proc_u0.cnn_ctrl_u0.cnn_inst.start,36.91µm
_05157_,36.84µm
_01517_,36.735µm
_04756_,36.66µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[1\],36.655µm
_05844_,36.6µm
_03235_,36.55µm
_02081_,36.545µm
_04725_,36.42µm
_02106_,36.31µm
_04228_,36.31µm
_03576_,36.285µm
_02769_,36.25µm
comm_mem_u0.spi_u0.loader_image_sm.i_ROW\[1\],36.24µm
_03090_,36.2µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[37\],36.17µm
_02090_,36.15µm
_03173_,36.13µm
_03702_,36.12µm
_05469_,36.07µm
comm_mem_u0.spi_u0.cmd\[1\],36.07µm
_01967_,36.06µm
_04716_,36.06µm
_05519_,36.06µm
_04768_,36.055µm
_04767_,36.025µm
_02163_,36.015µm
_02135_,36.01µm
_03231_,36.01µm
net429,36µm
comm_mem_u0.spi_u0.loader_image_sm.i_ROW\[3\],35.92µm
_02962_,35.79µm
_05411_,35.715µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[1\],35.58µm
_06124_,35.565µm
_02796_,35.525µm
comm_mem_u0.spi_u0.data_count\[4\],35.495µm
_03376_,35.47µm
_04797_,35.42µm
_04946_,35.34µm
_04131_,35.33µm
_05686_,35.215µm
_04145_,35.205µm
_02698_,35.11µm
_04877_,35.04µm
comm_mem_u0.o_img_row01\[5\],35.035µm
_02646_,34.985µm
_03214_,34.925µm
_02292_,34.92µm
proc_u0.cnn_ctrl_u0.cnn_acc\[3\],34.915µm
_02314_,34.88µm
_01345_,34.86µm
_03847_,34.825µm
_03555_,34.81µm
_03649_,34.81µm
_06772_,34.68µm
_01903_,34.63µm
_01328_,34.56µm
_05848_,34.56µm
_06051_,34.495µm
_04989_,34.45µm
_02825_,34.38µm
_06136_,34.38µm
net329,34.365µm
_03895_,34.315µm
_05533_,34.05µm
_05378_,33.96µm
_05689_,33.9µm
comm_mem_u0.spi_u0.bit_count\[0\],33.885µm
_06221_,33.76µm
_03296_,33.71µm
net474,33.64µm
_06071_,33.575µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[54\],33.53µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[63\],33.48µm
_02441_,33.36µm
_01319_,33.355µm
_03092_,33.345µm
_06392_,33.31µm
comm_mem_u0.spi_u0.bit_count\[2\],33.27µm
_02644_,33.18µm
_04226_,33.18µm
_05279_,33.14µm
_01838_,33.07µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[4\],33.02µm
_00006_,32.89µm
_04502_,32.805µm
_02778_,32.76µm
net716,32.76µm
_03800_,32.7µm
_02739_,32.65µm
_03944_,32.64µm
_02386_,32.52µm
_06161_,32.52µm
comm_mem_u0.spi_u0.data_count\[1\],32.355µm
_02632_,32.35µm
comm_mem_u0.o_img_row05\[26\],32.35µm
_03257_,32.275µm
_03731_,32.24µm
_05288_,32.185µm
_04425_,32.16µm
_02261_,32.125µm
_03132_,32.125µm
_06259_,32.11µm
_06740_,32.11µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[46\],32.11µm
_01970_,31.995µm
_03720_,31.98µm
_05318_,31.95µm
_03338_,31.92µm
_01829_,31.885µm
_01330_,31.87µm
_01442_,31.76µm
_01868_,31.75µm
net342,31.68µm
_03005_,31.64µm
_02793_,31.625µm
_04420_,31.59µm
_03077_,31.57µm
_02277_,31.51µm
comm_mem_u0.spi_u0.miso_count\[2\],31.455µm
_04696_,31.45µm
comm_mem_u0.mr1_out\[9\],31.39µm
_02848_,31.38µm
_06131_,31.33µm
_02713_,31.135µm
_03145_,31.09µm
_06011_,31.09µm
_05406_,31.065µm
comm_mem_u0.o_wgt_row00\[12\],30.995µm
net520,30.925µm
_05277_,30.895µm
comm_mem_u0.spi_u0.loader_weight_sm.i_WROW\[0\],30.89µm
_03998_,30.73µm
_03768_,30.725µm
_05647_,30.72µm
_05139_,30.67µm
_04728_,30.64µm
_06176_,30.635µm
_02501_,30.585µm
_02231_,30.58µm
net488,30.55µm
_05407_,30.54µm
_02031_,30.51µm
_02088_,30.495µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[19\],30.49µm
_04181_,30.465µm
_03689_,30.43µm
_02153_,30.415µm
_01368_,30.37µm
_04462_,30.36µm
_04509_,30.36µm
_05222_,30.355µm
_02505_,30.31µm
_03601_,30.31µm
net588,30.28µm
_02498_,30.26µm
comm_mem_u0.spi_u0.loader_weight_sm.weight_latch\[0\],30.24µm
_05624_,30.2µm
_05617_,30.175µm
_05878_,30.12µm
_03452_,30.08µm
_03924_,30.08µm
_06120_,30.03µm
_02911_,30µm
_06126_,29.94µm
_03167_,29.935µm
_03683_,29.89µm
_02879_,29.88µm
_04893_,29.88µm
_06115_,29.855µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[28\],29.6µm
comm_mem_u0.spi_u0.bit_count\[5\],29.59µm
_04179_,29.575µm
_06360_,29.54µm
_01385_,29.52µm
_04552_,29.52µm
_03916_,29.505µm
_05988_,29.46µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[49\],29.41µm
_03014_,29.4µm
_02582_,29.395µm
_04257_,29.35µm
_01334_,29.32µm
_02372_,29.29µm
_03700_,29.29µm
_02804_,29.245µm
_02385_,29.195µm
comm_mem_u0.o_img_row06\[25\],29.195µm
comm_mem_u0.spi_u0.loader_image_sm.i_ROW\[0\],29.105µm
_02753_,29.1µm
_03267_,29.08µm
_03929_,29.075µm
_04904_,29.055µm
_04221_,29.045µm
_06057_,29.01µm
_05620_,29µm
_01359_,28.93µm
_04267_,28.93µm
_03996_,28.905µm
_02155_,28.88µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[14\],28.88µm
proc_u0.cnn_ctrl_u0.cnn_inst.frag_mux.frag_sel\[2\],28.88µm
_02208_,28.87µm
net123,28.87µm
_04353_,28.86µm
_01463_,28.825µm
_04264_,28.81µm
_03252_,28.8µm
_01366_,28.775µm
_03443_,28.76µm
_04566_,28.69µm
_02406_,28.66µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[31\],28.63µm
_03207_,28.58µm
net252,28.58µm
comm_mem_u0.spi_u0.bit_count\[3\],28.575µm
_04929_,28.57µm
_03828_,28.56µm
_04387_,28.56µm
_05667_,28.56µm
_04448_,28.44µm
_02959_,28.38µm
_03853_,28.32µm
_02287_,28.285µm
_05792_,28.27µm
_02045_,28.235µm
_02748_,28.195µm
_02295_,28.12µm
_05815_,28.115µm
_05527_,28.11µm
proc_u0.cnn_ctrl_u0.cnn_inst.frag_mux.frag_sel\[0\],28.1µm
comm_mem_u0.o_img_row02\[21\],28.09µm
_05755_,28.06µm
_02830_,28.025µm
_01338_,27.96µm
_04848_,27.945µm
_03243_,27.91µm
_04202_,27.91µm
_05817_,27.91µm
_04494_,27.9µm
_01668_,27.885µm
_02550_,27.84µm
_06299_,27.84µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[27\],27.805µm
_06013_,27.73µm
_06106_,27.73µm
_02164_,27.675µm
comm_mem_u0.reg_wgt_u4.Register_Weight_DataInBUS\[7\],27.665µm
_03820_,27.655µm
_02975_,27.65µm
_03297_,27.645µm
_04722_,27.61µm
_04723_,27.61µm
net556,27.6µm
_02049_,27.585µm
_01830_,27.545µm
_02032_,27.54µm
_01983_,27.49µm
_03103_,27.49µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[1\],27.49µm
_02169_,27.485µm
_02913_,27.48µm
comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[14\],27.48µm
_03375_,27.45µm
_05135_,27.38µm
_04460_,27.305µm
comm_mem_u0.spi_u0.data_count\[2\],27.275µm
_02609_,27.25µm
_01916_,27.235µm
_06648_,27.235µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[9\],27.2µm
_03262_,27.19µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.state\[7\],27.19µm
_05460_,27.185µm
_03756_,27.18µm
_03456_,27.13µm
_03675_,27.095µm
_02707_,27.07µm
net358,27.07µm
_03482_,27.06µm
_06069_,27µm
_05099_,26.96µm
_05727_,26.95µm
_02926_,26.925µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[39\],26.92µm
_03494_,26.91µm
comm_mem_u0.o_wgt_row00\[6\],26.9µm
comm_mem_u0.o_img_row01\[13\],26.89µm
_01790_,26.885µm
_03605_,26.88µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[40\],26.83µm
_02093_,26.775µm
_05418_,26.715µm
_01826_,26.705µm
_05369_,26.7µm
_02941_,26.685µm
_02445_,26.67µm
_02107_,26.66µm
_04912_,26.66µm
_01953_,26.65µm
_02089_,26.65µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[24\],26.64µm
_02110_,26.635µm
_01380_,26.585µm
_02854_,26.58µm
_06489_,26.58µm
comm_mem_u0.spi_u0.bit_count\[4\],26.575µm
_03721_,26.455µm
_04828_,26.445µm
_02294_,26.41µm
_02022_,26.4µm
_02115_,26.4µm
_03740_,26.36µm
_05189_,26.32µm
acc0\[9\],26.3µm
_02304_,26.245µm
_05174_,26.23µm
_06100_,26.225µm
_02284_,26.22µm
_03118_,26.215µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[20\],26.175µm
_04472_,26.16µm
_06096_,26.16µm
_06650_,26.16µm
_06708_,26.16µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[16\],26.135µm
_02978_,26.11µm
comm_mem_u0.o_img_row03\[9\],26.11µm
_03991_,26.1µm
net320,26.08µm
_03796_,26.075µm
_02991_,26.06µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[67\],26.01µm
_01383_,25.99µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_done,25.98µm
_04166_,25.94µm
_02259_,25.93µm
_04556_,25.92µm
_03850_,25.895µm
_06121_,25.86µm
_03706_,25.82µm
_05240_,25.78µm
_02077_,25.765µm
_03623_,25.715µm
_02660_,25.7µm
_03898_,25.69µm
_04365_,25.68µm
_05255_,25.64µm
_01316_,25.585µm
_02832_,25.58µm
_03196_,25.58µm
_05488_,25.57µm
_04450_,25.565µm
net499,25.53µm
_01567_,25.5µm
_02362_,25.495µm
_01959_,25.455µm
_01387_,25.45µm
_06076_,25.27µm
_03942_,25.26µm
_02958_,25.15µm
_04765_,25.105µm
_02109_,25.09µm
_03642_,25.09µm
_04603_,25.02µm
_05265_,24.96µm
_03733_,24.84µm
_05733_,24.8µm
_05526_,24.79µm
_02490_,24.73µm
_05257_,24.73µm
_05505_,24.72µm
_05888_,24.685µm
_05426_,24.675µm
_05077_,24.66µm
_05737_,24.66µm
comm_mem_u0.spi_u0.loader_weight_sm.weight_latch\[1\],24.625µm
comm_mem_u0.o_img_row07\[4\],24.61µm
_04910_,24.6µm
_05453_,24.56µm
_02099_,24.555µm
_03282_,24.52µm
_06081_,24.51µm
_05880_,24.43µm
comm_mem_u0.o_wgt_row02\[12\],24.38µm
_03830_,24.375µm
_04740_,24.36µm
_06110_,24.36µm
_02488_,24.31µm
_05757_,24.31µm
_04544_,24.3µm
comm_mem_u0.o_img_row07\[6\],24.27µm
_02011_,24.25µm
_03089_,24.24µm
_03810_,24.24µm
_05509_,24.24µm
comm_mem_u0.reg_img_u2.Register_Imag_DataInBUS\[1\],24.2µm
_01496_,24.14µm
_03520_,24.13µm
_04163_,24.13µm
_01705_,24.12µm
_01801_,24.12µm
_03842_,24.095µm
_05583_,24.08µm
_03566_,24.07µm
comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[17\],24.07µm
_04100_,24.06µm
comm_mem_u0.spi_u0.loader_weight_sm.STATE_Register,24.045µm
_04301_,24.02µm
_02147_,23.995µm
comm_mem_u0.reg_wgt_u4.Register_Weight_DataInBUS\[2\],23.95µm
_04313_,23.94µm
_02211_,23.91µm
_04245_,23.905µm
_04324_,23.9µm
_06175_,23.89µm
comm_mem_u0.reg_img_u6.Register_Imag_DataInBUS\[4\],23.875µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[23\],23.84µm
_05312_,23.835µm
_03134_,23.82µm
comm_mem_u0.mr2_out\[14\],23.78µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[17\],23.77µm
_03831_,23.76µm
_06163_,23.71µm
_03190_,23.67µm
_03127_,23.64µm
_06642_,23.635µm
_01427_,23.575µm
_01428_,23.535µm
_03195_,23.515µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[18\],23.505µm
comm_mem_u0.o_wgt_row03\[2\],23.485µm
_05192_,23.47µm
net410,23.43µm
_03413_,23.41µm
_05090_,23.4µm
_04132_,23.395µm
_06181_,23.375µm
comm_mem_u0.reg_wgt_u4.Register_Weight_DataInBUS\[10\],23.35µm
comm_mem_u0.reg_wgt_u4.Register_Weight_DataInBUS\[4\],23.35µm
_02015_,23.325µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[12\],23.31µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[16\],23.29µm
comm_mem_u0.o_img_row04\[19\],23.275µm
comm_mem_u0.o_wgt_row03\[0\],23.275µm
_01908_,23.23µm
_05163_,23.22µm
_02918_,23.205µm
_02352_,23.17µm
_02895_,23.17µm
_04793_,23.17µm
comm_mem_u0.reg_img_u2.Register_Imag_DataInBUS\[25\],23.17µm
_02670_,23.125µm
_04882_,23.12µm
_02181_,23.085µm
_04601_,22.99µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[25\],22.965µm
_05398_,22.945µm
_05838_,22.87µm
_02377_,22.86µm
_01440_,22.825µm
_01526_,22.81µm
comm_mem_u0.o_img_row07\[23\],22.81µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[9\],22.8µm
_04474_,22.74µm
_03003_,22.68µm
_03955_,22.64µm
_05148_,22.64µm
_01361_,22.58µm
_04194_,22.575µm
_02125_,22.51µm
_04325_,22.51µm
_06647_,22.5µm
_01341_,22.435µm
_02162_,22.435µm
_02905_,22.41µm
_00003_,22.39µm
_01871_,22.39µm
_03526_,22.39µm
_05095_,22.39µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[0\],22.39µm
_05238_,22.385µm
_05005_,22.375µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[17\],22.35µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[29\],22.33µm
_01329_,22.29µm
comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[20\],22.29µm
_03953_,22.27µm
_05646_,22.26µm
_04539_,22.235µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[30\],22.225µm
_01848_,22.22µm
_05632_,22.2µm
_04068_,22.15µm
_02021_,22.105µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[61\],22.105µm
_01886_,22.09µm
comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[8\],22.09µm
_03105_,22.08µm
_03397_,22.08µm
_02480_,22.075µm
_06183_,22.07µm
net713,22.02µm
comm_mem_u0.spi_u0.loader_weight_sm.weight_latch\[2\],22µm
_05452_,21.9µm
_01467_,21.86µm
_02697_,21.85µm
_04721_,21.85µm
_06101_,21.85µm
_06167_,21.85µm
_03592_,21.845µm
_02052_,21.835µm
_05820_,21.835µm
_04287_,21.815µm
_02528_,21.79µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[10\],21.785µm
_02276_,21.775µm
comm_mem_u0.reg_wgt_u4.Register_Weight_DataInBUS\[0\],21.745µm
_05775_,21.74µm
comm_mem_u0.mr2_out\[0\],21.73µm
_02379_,21.72µm
_02381_,21.72µm
_04167_,21.68µm
comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[24\],21.625µm
_02575_,21.61µm
_02743_,21.6µm
_04947_,21.56µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[2\],21.55µm
net307,21.535µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[11\],21.49µm
_01839_,21.48µm
_05045_,21.48µm
comm_mem_u0.mr1_out\[7\],21.475µm
_05066_,21.465µm
comm_mem_u0.mr2_out\[2\],21.465µm
_01849_,21.43µm
_05706_,21.42µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[20\],21.415µm
_02666_,21.37µm
_04296_,21.37µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[13\],21.37µm
_02437_,21.36µm
_03205_,21.36µm
_04107_,21.36µm
_04833_,21.31µm
_03662_,21.305µm
comm_mem_u0.o_wgt_row03\[1\],21.305µm
_01768_,21.26µm
_06287_,21.24µm
_02543_,21.2µm
comm_mem_u0.reg_img_u2.Register_Imag_DataInBUS\[26\],21.19µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[22\],21.18µm
comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[23\],21.145µm
_05778_,21.14µm
_02413_,21.12µm
_04650_,21.115µm
_05779_,21.115µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[64\],21.04µm
_04724_,21.02µm
comm_mem_u0.mr1_out\[11\],21.02µm
_04799_,21.005µm
_01950_,21µm
_02178_,20.96µm
_05476_,20.95µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[10\],20.95µm
_02457_,20.94µm
comm_mem_u0.o_wgt_row01\[6\],20.9µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[3\],20.9µm
comm_mem_u0.mr2_out\[1\],20.89µm
_02127_,20.855µm
_05516_,20.85µm
comm_mem_u0.mr2_out\[9\],20.845µm
comm_mem_u0.o_wgt_row01\[11\],20.84µm
_05582_,20.83µm
_02393_,20.82µm
_02893_,20.815µm
comm_mem_u0.reg_img_u6.Register_Imag_DataInBUS\[21\],20.815µm
_01323_,20.805µm
comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[14\],20.8µm
_02014_,20.77µm
comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[21\],20.77µm
_02799_,20.76µm
_06352_,20.76µm
comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[26\],20.71µm
_05748_,20.7µm
_01434_,20.67µm
_01748_,20.67µm
acc1\[12\],20.67µm
_05449_,20.665µm
_01413_,20.66µm
_01431_,20.66µm
_04866_,20.66µm
comm_mem_u0.mr1_out\[8\],20.66µm
comm_mem_u0.o_wgt_row00\[13\],20.65µm
_05289_,20.635µm
_04173_,20.625µm
_05702_,20.6µm
_02610_,20.59µm
comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[22\],20.59µm
