net,length_um
net601,258.585µm
net477,258.415µm
comm_mem_u0.spi_u0.weight_shift\[13\],258.385µm
comm_mem_u0.o_img_row05\[11\],258.215µm
net528,258.12µm
net616,257.605µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[50\],257.07µm
net677,256.69µm
_02622_,256.43µm
net455,256.245µm
comm_mem_u0.spi_u0.image_shift\[14\],256.09µm
net353,256.04µm
_01505_,255.2µm
net607,254.65µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[45\],254.385µm
net752,253.125µm
comm_mem_u0.o_img_row02\[2\],252.035µm
net403,251.93µm
comm_mem_u0.spi_u0.weight_shift\[9\],251.705µm
_02249_,251.52µm
proc_u0.cnn_ctrl_u0.cnn_inst.frag_mux.frag_sel\[1\],250.84µm
net451,250.705µm
comm_mem_u0.o_wgt_row00\[10\],250.54µm
_01981_,250.28µm
net275,249.745µm
net650,248.755µm
_01808_,248.275µm
comm_mem_u0.o_img_row02\[23\],247.145µm
net612,246.565µm
comm_mem_u0.o_img_row05\[8\],246.35µm
_02280_,246.295µm
comm_mem_u0.o_img_row05\[24\],246.235µm
comm_mem_u0.spi_u0.weight_shift\[3\],245.7µm
_06641_,245.42µm
net401,245.205µm
net526,245.06µm
comm_mem_u0.o_img_row05\[15\],245.02µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[26\],244.665µm
_03284_,244.58µm
net446,244.445µm
net108,244.03µm
net547,242.77µm
net447,241.38µm
net636,241.11µm
net969,240.08µm
net172,239.525µm
_01598_,238.01µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.window_sel\[3\],237.97µm
comm_mem_u0.spi_u0.weight_shift\[5\],237.775µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[47\],237.67µm
comm_mem_u0.o_img_row05\[20\],237.6µm
comm_mem_u0.o_img_row04\[4\],236.12µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[21\],236.045µm
net402,235.6µm
comm_mem_u0.o_img_row05\[18\],235.32µm
net197,235.245µm
net1089,235.155µm
comm_mem_u0.o_img_row04\[24\],234.585µm
_03590_,234.495µm
net605,234.08µm
net1108,233.92µm
net277,233.785µm
net876,233.66µm
_04555_,233.24µm
net222,232.44µm
comm_mem_u0.o_img_row05\[22\],232.295µm
_01851_,232.235µm
_03573_,232.17µm
_02961_,231.94µm
_02105_,231.745µm
net595,231.4µm
_06651_,231.07µm
_05187_,230.855µm
_02196_,230.59µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.window_sel\[2\],230.455µm
comm_mem_u0.o_img_row04\[0\],230.395µm
net887,230.27µm
comm_mem_u0.spi_u0.image_shift\[1\],230.08µm
net669,229.69µm
net333,229.665µm
_03149_,229µm
net6,227.9µm
comm_mem_u0.spi_u0.image_shift\[16\],227.875µm
comm_mem_u0.spi_u0.weight_shift\[2\],226.995µm
comm_mem_u0.o_img_row05\[9\],226.985µm
comm_mem_u0.o_img_row04\[26\],226.455µm
net59,226.4µm
net284,226.255µm
net139,225.725µm
net724,225.405µm
net458,224.72µm
comm_mem_u0.o_img_row04\[7\],224.38µm
_06645_,224.05µm
net235,223.87µm
net468,222.655µm
net163,222.575µm
_03698_,222.23µm
_03909_,221.98µm
_01993_,221.455µm
_01879_,220.8µm
comm_mem_u0.spi_u0.image_shift\[5\],220.69µm
comm_mem_u0.o_wgt_row00\[14\],220.62µm
net193,220.515µm
net444,220.515µm
net1093,220.285µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[25\],220.025µm
comm_mem_u0.o_img_row04\[25\],219.88µm
comm_mem_u0.o_img_row00\[6\],219.115µm
net593,218.39µm
net349,218.12µm
net242,217.955µm
net143,217.75µm
net622,217.555µm
_01844_,217.545µm
net226,217.135µm
_01453_,216.97µm
_01456_,216.39µm
_01875_,216.15µm
net816,215.7µm
net599,215.16µm
_02074_,214.84µm
comm_mem_u0.o_wgt_row01\[3\],214.24µm
net110,214.14µm
net796,213.805µm
net398,212.83µm
_01804_,212.685µm
_01873_,212.645µm
_01459_,212.525µm
_01876_,212.105µm
comm_mem_u0.o_img_row03\[24\],212.055µm
comm_mem_u0.spi_u0.image_shift\[3\],211.94µm
_03506_,211.925µm
net244,211.915µm
comm_mem_u0.o_img_row04\[16\],211.895µm
comm_mem_u0.o_wgt_row01\[5\],211.87µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[48\],211.78µm
net826,211.76µm
net610,211.65µm
net804,211.18µm
net111,211µm
comm_mem_u0.o_img_row06\[6\],210.97µm
net422,210.61µm
net269,210.605µm
comm_mem_u0.o_wgt_row00\[8\],210.52µm
net260,210.42µm
_04369_,210.395µm
_03866_,210.265µm
net116,210.215µm
_06487_,210.185µm
_01949_,209.99µm
comm_mem_u0.spi_u0.weight_shift\[4\],209.955µm
comm_mem_u0.o_img_row06\[16\],209.895µm
comm_mem_u0.o_img_row01\[8\],209.56µm
comm_mem_u0.o_img_row02\[3\],208.93µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[29\],208.765µm
_01862_,208.725µm
net62,208.615µm
net285,208.61µm
net600,208.575µm
_04280_,208.51µm
_04537_,207.97µm
net1095,207.785µm
net289,207.695µm
comm_mem_u0.o_img_row04\[13\],207.395µm
net219,206.84µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[42\],206.635µm
_06324_,206.245µm
_03718_,206.135µm
net176,206.01µm
net623,205.91µm
net54,205.5µm
_02150_,205.385µm
net810,205.325µm
net393,204.465µm
_03811_,204.385µm
_06292_,203.965µm
net938,203.965µm
_05892_,203.795µm
_01980_,203.69µm
net129,203.66µm
net598,203.645µm
net1084,203.535µm
net872,202.86µm
net1085,202.72µm
_01978_,202.63µm
net65,202.6µm
net441,202.285µm
net255,202.205µm
comm_mem_u0.o_img_row01\[20\],202.12µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[56\],201.78µm
net26,201.71µm
comm_mem_u0.o_img_row02\[1\],201.645µm
_01621_,200.68µm
_03043_,200.44µm
net449,200.265µm
comm_mem_u0.o_img_row00\[5\],199.995µm
net1024,199.685µm
_02151_,199.405µm
net305,199.07µm
net604,199.005µm
net423,198.92µm
comm_mem_u0.o_img_row06\[13\],198.83µm
_03154_,198.415µm
net1090,198.19µm
net758,197.635µm
comm_mem_u0.o_img_row07\[18\],197.61µm
comm_mem_u0.o_img_row06\[12\],197.39µm
net662,197.145µm
comm_mem_u0.o_img_row09\[15\],197.06µm
net332,197.035µm
comm_mem_u0.o_img_row07\[19\],196.925µm
net842,196.85µm
comm_mem_u0.o_img_row05\[17\],196.73µm
comm_mem_u0.o_img_row03\[7\],196.465µm
net120,195.85µm
_04545_,195.76µm
comm_mem_u0.o_img_row04\[8\],195.405µm
net391,195.365µm
net457,195.355µm
net733,195.22µm
_01909_,194.915µm
net169,194.74µm
net718,194.49µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[35\],194.48µm
_05221_,194.415µm
_03829_,194.34µm
net181,194.285µm
_04490_,193.995µm
net645,193.735µm
_01458_,193.7µm
_04404_,193.61µm
_02428_,193.27µm
_01859_,193.235µm
comm_mem_u0.o_img_row05\[19\],193.155µm
_01982_,191.91µm
_05997_,191.53µm
net864,191.43µm
comm_mem_u0.o_img_row07\[10\],191.16µm
_02691_,190.34µm
net165,190.24µm
net674,190.145µm
net692,188.935µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.window_sel\[1\],188.635µm
comm_mem_u0.o_wgt_row01\[4\],188.625µm
net213,188.545µm
_04449_,188.185µm
net743,187.805µm
net160,187.73µm
_06653_,187.715µm
_04522_,187.605µm
net229,187.53µm
net387,187.505µm
net639,187.31µm
comm_mem_u0.o_img_row07\[0\],187.275µm
comm_mem_u0.o_img_row03\[26\],187.11µm
comm_mem_u0.o_img_row04\[27\],187.09µm
_05153_,186.66µm
net29,186.44µm
net1008,185.765µm
_04336_,185.21µm
net456,185.205µm
net852,184.83µm
_03814_,184.805µm
net503,184.795µm
net256,184.4µm
_01460_,184.34µm
net840,184.24µm
net34,183.9µm
net516,183.845µm
net613,182.895µm
_03679_,182.81µm
net257,182.575µm
net245,182.475µm
comm_mem_u0.o_img_row04\[28\],182.38µm
comm_mem_u0.o_img_row03\[23\],182.225µm
_03324_,181.89µm
comm_mem_u0.o_img_row03\[22\],181.595µm
_04860_,181.58µm
net22,181.58µm
_03795_,181.56µm
_03833_,181.435µm
net390,180.9µm
net153,180.85µm
net443,180.645µm
_01835_,180.51µm
_04787_,180.37µm
comm_mem_u0.o_img_row06\[9\],180.275µm
net611,179.755µm
comm_mem_u0.o_img_row08\[23\],179.29µm
net207,179.21µm
_01658_,178.965µm
comm_mem_u0.o_img_row03\[8\],178.945µm
_04486_,178.875µm
comm_mem_u0.o_img_row09\[13\],178.33µm
net394,178.01µm
net871,177.765µm
_06357_,177.71µm
net1106,177.63µm
comm_mem_u0.o_img_row07\[15\],177.57µm
net33,177.55µm
_02857_,177.545µm
comm_mem_u0.o_img_row02\[7\],177.335µm
comm_mem_u0.o_img_row04\[29\],176.995µm
net673,176.77µm
net1094,176.765µm
net676,176.67µm
net278,176.65µm
_01823_,176.57µm
_05051_,176.445µm
comm_mem_u0.o_img_row06\[0\],176.34µm
net508,176.195µm
net161,176.185µm
comm_mem_u0.o_img_row09\[11\],176.01µm
net725,175.875µm
net746,175.825µm
net741,175.805µm
_04285_,175.725µm
net246,175.625µm
net48,175.61µm
_03792_,175.485µm
comm_mem_u0.o_img_row08\[18\],175.31µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[52\],175.155µm
_01753_,175.065µm
net81,174.92µm
net815,174.415µm
net414,173.9µm
_05188_,173.78µm
comm_mem_u0.o_img_row03\[6\],173.695µm
_02919_,173.46µm
_01654_,173.35µm
net847,173.28µm
_05998_,173.17µm
net647,173.155µm
net502,173.005µm
net406,172.965µm
_02596_,172.96µm
