net,length_um
_02708_,56.765µm
_03884_,56.71µm
net1066,56.675µm
_02522_,56.6µm
_02460_,56.58µm
_01545_,56.55µm
_04304_,56.49µm
_05091_,56.41µm
cnn_inst.comm_mem_u0.o_img_row00\[12\],56.36µm
_02751_,56.35µm
_01994_,56.34µm
_04109_,56.325µm
_03372_,56.215µm
_03190_,56.16µm
_03534_,56.11µm
_04983_,56.04µm
cnn_inst.comm_mem_u0.o_img_row09\[9\],56.035µm
net281,55.965µm
cnn_inst.comm_mem_u0.o_img_row09\[11\],55.955µm
_01813_,55.87µm
_03936_,55.855µm
cnn_inst.comm_mem_u0.o_img_row02\[29\],55.81µm
_02790_,55.71µm
_04406_,55.69µm
_05518_,55.375µm
_06276_,55.285µm
_05181_,55.255µm
_03042_,55.21µm
_04203_,55.2µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.first_en,55.185µm
net234,55.155µm
net1044,55.125µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[9\],55.04µm
_03565_,55.02µm
_02336_,54.98µm
_04020_,54.97µm
cnn_inst.comm_mem_u0.o_img_row02\[1\],54.87µm
_04339_,54.86µm
_05459_,54.835µm
_01713_,54.79µm
_02189_,54.76µm
_03350_,54.52µm
_06528_,54.36µm
_05458_,54.335µm
_05164_,54.325µm
net461,54.3µm
_02415_,54.26µm
_04307_,54.26µm
_03211_,54.25µm
_04726_,54.08µm
net1026,54.075µm
_04968_,53.95µm
net300,53.92µm
_04987_,53.91µm
net674,53.79µm
net844,53.76µm
_02218_,53.65µm
net428,53.64µm
net996,53.54µm
_05076_,53.53µm
_06093_,53.46µm
_01620_,53.41µm
_03330_,53.41µm
_01641_,53.4µm
_05544_,53.39µm
_03186_,53.34µm
_05678_,53.035µm
_02712_,52.965µm
_03339_,52.95µm
_02026_,52.945µm
_02122_,52.64µm
_05084_,52.575µm
_01586_,52.5µm
_06162_,52.455µm
_03378_,52.435µm
_03998_,52.41µm
_01771_,52.39µm
net449,52.335µm
_06253_,52.195µm
_02184_,52.03µm
net278,51.995µm
_03984_,51.97µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[5\],51.875µm
net532,51.835µm
_05680_,51.655µm
_04976_,51.55µm
_02453_,51.49µm
cnn_inst.comm_mem_u0.o_img_row02\[7\],51.475µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_acc\[11\],51.385µm
cnn_inst.comm_mem_u0.o_img_row07\[22\],51.36µm
_02594_,51.27µm
_04825_,51.24µm
_03113_,51.215µm
_05774_,51.19µm
_03889_,51.06µm
_01860_,51µm
cnn_inst.comm_mem_u0.o_img_row00\[22\],50.915µm
net705,50.87µm
_01737_,50.83µm
net904,50.76µm
_04868_,50.695µm
_03586_,50.67µm
_04750_,50.665µm
_04124_,50.65µm
_01929_,50.6µm
net469,50.595µm
_04459_,50.58µm
_06493_,50.53µm
_03601_,50.46µm
_03105_,50.445µm
_02981_,50.34µm
_01525_,50.335µm
_05395_,50.28µm
cnn_inst.comm_mem_u0.o_img_row00\[6\],50.235µm
_04327_,50.22µm
net1068,50.22µm
_03030_,50.11µm
_02952_,50.1µm
_05073_,50.01µm
net351,49.955µm
_05442_,49.94µm
_03413_,49.93µm
_04135_,49.93µm
_04981_,49.93µm
_02337_,49.855µm
_04592_,49.825µm
_01703_,49.655µm
_03371_,49.57µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[62\],49.57µm
cnn_inst.comm_mem_u0.spi_u0.loader_weight_sm.weight_latch\[0\],49.51µm
_01352_,49.38µm
_02364_,49.365µm
_03706_,49.32µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[11\],49.31µm
_04646_,49.27µm
_03689_,49.235µm
_05725_,49.17µm
_03680_,49.12µm
_04831_,49.105µm
_04593_,49.065µm
_03887_,49.05µm
_02279_,48.91µm
net321,48.885µm
_01555_,48.855µm
net228,48.73µm
_01679_,48.69µm
_05816_,48.675µm
_04202_,48.42µm
_06462_,48.38µm
_03980_,48.3µm
_04792_,48.3µm
_01716_,48.275µm
_03521_,48.23µm
_01706_,48.205µm
cnn_inst.comm_mem_u0.o_img_row06\[7\],48.2µm
_03449_,48.18µm
_05438_,48.18µm
_02621_,48.15µm
_02577_,47.89µm
_06463_,47.72µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[32\],47.665µm
_04462_,47.37µm
_05013_,47.37µm
_03602_,47.36µm
_05337_,47.34µm
_05038_,47.28µm
_06254_,47.11µm
_03946_,47.065µm
cnn_inst.comm_mem_u0.spi_u0.loader_image_sm.row_latch\[2\],47.06µm
_03989_,47.03µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[9\],46.98µm
_03424_,46.92µm
_05327_,46.92µm
_04013_,46.89µm
net665,46.775µm
_01952_,46.75µm
cnn_inst.comm_mem_u0.o_img_row01\[20\],46.64µm
_01551_,46.6µm
_05340_,46.555µm
net208,46.555µm
_05569_,46.44µm
cnn_inst.comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[13\],46.39µm
_01958_,46.33µm
_02886_,46.33µm
_05989_,46.33µm
_03315_,46.32µm
net448,46.265µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_acc\[12\],46.23µm
_02044_,46.16µm
_06751_,46.09µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[13\],46.085µm
_06328_,46.02µm
_03609_,45.985µm
_06259_,45.96µm
_03357_,45.91µm
_01542_,45.9µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_acc\[13\],45.895µm
_02974_,45.85µm
_03900_,45.79µm
_02623_,45.67µm
_02947_,45.595µm
_04303_,45.58µm
_03975_,45.54µm
_03056_,45.49µm
cnn_inst.comm_mem_u0.spi_u0.data_count\[0\],45.485µm
cnn_inst.comm_mem_u0.spi_u0.loader_image_sm.i_ROW\[0\],45.47µm
net297,45.455µm
net1091,45.4µm
net1086,45.375µm
_02242_,45.36µm
_06482_,45.36µm
_03097_,45.13µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[15\],45.125µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[5\],45.12µm
_01945_,45.03µm
_03487_,45.01µm
_04595_,45µm
_04924_,44.77µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[43\],44.725µm
_04986_,44.635µm
_02389_,44.59µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.state\[9\],44.545µm
_06759_,44.505µm
_04928_,44.47µm
_03102_,44.4µm
cnn_inst.comm_mem_u0.o_img_row01\[13\],44.36µm
_04664_,44.35µm
_01701_,44.335µm
_01491_,44.33µm
_02259_,44.17µm
_04330_,44.1µm
_04483_,44.065µm
_06363_,44.04µm
_04139_,43.985µm
cnn_inst.comm_mem_u0.o_img_row06\[9\],43.92µm
cnn_inst.comm_mem_u0.spi_u0.bit_count\[3\],43.64µm
_03118_,43.62µm
_05138_,43.57µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[12\],43.525µm
_01380_,43.475µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_acc\[1\],43.47µm
_03633_,43.435µm
_05142_,43.38µm
_02006_,43.27µm
cnn_inst.comm_mem_u0.spi_u0.miso_count\[0\],43.27µm
_04421_,43.245µm
_04845_,43.235µm
_04308_,43.22µm
_06749_,43.21µm
_06171_,43.2µm
_02793_,43.165µm
_03764_,43.135µm
_01593_,43.09µm
_04802_,43.08µm
_06282_,43.08µm
_01739_,43.06µm
_03785_,42.98µm
_05593_,42.955µm
_05535_,42.91µm
_05580_,42.91µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[11\],42.755µm
_05591_,42.745µm
net419,42.745µm
_04946_,42.72µm
_01782_,42.645µm
_02923_,42.62µm
_02687_,42.505µm
_02191_,42.46µm
_02302_,42.46µm
_04491_,42.37µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[40\],42.35µm
_01791_,42.25µm
_02114_,42.25µm
cnn_inst.CNNver2_MR1_Load,42.225µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[4\],42.225µm
cnn_inst.comm_mem_u0.o_img_row06\[19\],42.22µm
_04172_,42.175µm
_02597_,42.13µm
_01767_,42.12µm
_02381_,42.12µm
_02985_,42.055µm
_01709_,42.04µm
_03041_,42.03µm
_05800_,42.01µm
_01743_,41.95µm
_01347_,41.89µm
_06261_,41.89µm
_02249_,41.82µm
_04432_,41.82µm
_02513_,41.74µm
_01741_,41.71µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[3\],41.68µm
_02340_,41.605µm
_05146_,41.59µm
_01751_,41.53µm
_02738_,41.53µm
_01372_,41.52µm
_05477_,41.46µm
_01873_,41.41µm
_04851_,41.41µm
_04949_,41.41µm
_05371_,41.35µm
net298,41.3µm
_01783_,41.285µm
_01855_,41.22µm
_02918_,41.17µm
_06242_,41.17µm
_01575_,41.125µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[12\],41.115µm
_04316_,41.065µm
_06181_,41.06µm
_05457_,41.05µm
_02889_,40.98µm
_05476_,40.94µm
_01944_,40.82µm
cnn_inst.comm_mem_u0.o_img_row00\[5\],40.59µm
_04126_,40.58µm
cnn_inst.comm_mem_u0.spi_u0.bit_count\[5\],40.545µm
_02458_,40.505µm
_02579_,40.505µm
_02031_,40.44µm
_04795_,40.405µm
cnn_inst.comm_mem_u0.spi_u0.miso_count\[2\],40.39µm
cnn_inst.comm_mem_u0.o_img_row00\[2\],40.385µm
_03738_,40.36µm
_04184_,40.335µm
net365,40.33µm
_04282_,40.295µm
_02966_,40.29µm
_04345_,40.22µm
_05721_,40.21µm
_03239_,40.2µm
_01327_,40.09µm
_04555_,40.025µm
_03891_,39.93µm
net606,39.92µm
net359,39.885µm
_01924_,39.85µm
_05090_,39.79µm
_05030_,39.66µm
_03862_,39.63µm
_02179_,39.57µm
_02635_,39.56µm
_02476_,39.52µm
_01375_,39.46µm
_01646_,39.44µm
_02901_,39.42µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[57\],39.41µm
_02335_,39.38µm
_01382_,39.36µm
_05807_,39.26µm
_04361_,39.24µm
_01323_,39.23µm
net305,39.22µm
_02039_,39.2µm
_05315_,39.195µm
_02554_,39.19µm
_02721_,39.18µm
_03622_,39.125µm
_03155_,39.1µm
_02062_,39.07µm
_06592_,39.02µm
_01576_,39.01µm
_02854_,38.985µm
_02624_,38.98µm
cnn_inst.comm_mem_u0.spi_u0.loader_image_sm.STATE_Signal,38.915µm
_04716_,38.91µm
_01615_,38.88µm
_01789_,38.88µm
_02154_,38.88µm
_06097_,38.88µm
net361,38.875µm
_03923_,38.77µm
_06486_,38.76µm
_01366_,38.67µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[49\],38.665µm
_02186_,38.595µm
_03714_,38.53µm
cnn_inst.comm_mem_u0.o_img_row00\[11\],38.53µm
net255,38.5µm
_02367_,38.48µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[7\],38.405µm
cnn_inst.comm_mem_u0.o_img_row07\[26\],38.395µm
_03844_,38.36µm
_04057_,38.325µm
_02289_,38.3µm
_03542_,38.3µm
_01878_,38.245µm
_04781_,38.225µm
_06090_,38.22µm
net525,38.22µm
_04672_,38.17µm
_03859_,38.06µm
_05217_,37.935µm
_04445_,37.895µm
_02363_,37.87µm
_03428_,37.86µm
_06362_,37.82µm
_02105_,37.815µm
_01772_,37.81µm
_04123_,37.81µm
net313,37.81µm
_04380_,37.8µm
_05465_,37.76µm
_02260_,37.7µm
_02462_,37.69µm
_05963_,37.69µm
_06823_,37.66µm
_02255_,37.61µm
_01793_,37.58µm
_04010_,37.56µm
_04680_,37.56µm
net339,37.51µm
_03154_,37.46µm
_04549_,37.435µm
cnn_inst.comm_mem_u0.mr1_out\[8\],37.39µm
_04179_,37.36µm
_02702_,37.33µm
_05316_,37.315µm
cnn_inst.comm_mem_u0.spi_u0.bit_count\[0\],37.315µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_acc\[5\],37.305µm
_04199_,37.23µm
_05074_,37.22µm
_03358_,37.21µm
_02383_,37.2µm
cnn_inst.acc0\[15\],37.19µm
_04885_,37.17µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_acc\[15\],37.14µm
cnn_inst.comm_mem_u0.o_img_row07\[28\],37.09µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[2\],37.045µm
_01884_,37.04µm
_02205_,37.025µm
_02640_,37.02µm
_01393_,36.995µm
_03086_,36.97µm
_01734_,36.95µm
_04736_,36.945µm
_02075_,36.91µm
_03843_,36.86µm
net325,36.855µm
_04558_,36.845µm
_02126_,36.775µm
_04709_,36.73µm
_02088_,36.715µm
cnn_inst.comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[29\],36.705µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[13\],36.705µm
net660,36.665µm
_04712_,36.5µm
_01326_,36.495µm
_02530_,36.49µm
_05455_,36.48µm
_02199_,36.455µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[6\],36.395µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.state\[7\],36.395µm
_02499_,36.36µm
_04418_,36.36µm
_03968_,36.33µm
net560,36.285µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[7\],36.27µm
_06268_,36.25µm
_03328_,36.24µm
cnn_inst.comm_mem_u0.o_img_row01\[4\],36.23µm
_02130_,36.185µm
_02557_,36.18µm
_06154_,36.18µm
_03073_,36.165µm
_04233_,36.14µm
_01351_,36.01µm
_05689_,35.94µm
_04381_,35.835µm
_01954_,35.76µm
_04573_,35.745µm
_06239_,35.745µm
_03295_,35.71µm
cnn_inst.comm_mem_u0.o_img_row02\[18\],35.68µm
_02049_,35.65µm
_04902_,35.64µm
_02828_,35.635µm
_05058_,35.625µm
_06251_,35.475µm
cnn_inst.comm_mem_u0.spi_u0.data_count\[1\],35.37µm
_02941_,35.35µm
net789,35.32µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[33\],35.28µm
_05428_,35.25µm
_02328_,35.24µm
_04537_,35.24µm
_04954_,35.24µm
_04551_,35.215µm
_04011_,35.205µm
_05987_,35.13µm
_02857_,35.12µm
net83,35.105µm
cnn_inst.comm_mem_u0.o_img_row04\[1\],34.99µm
_01742_,34.965µm
net311,34.95µm
_02303_,34.81µm
_04705_,34.805µm
_03564_,34.75µm
_02473_,34.68µm
_03143_,34.62µm
_05273_,34.59µm
cnn_inst.proc_u0.cnn_ctrl_u0.state\[3\],34.57µm
net286,34.56µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[6\],34.51µm
_04545_,34.495µm
_04212_,34.44µm
_04101_,34.41µm
_02942_,34.325µm
cnn_inst.comm_mem_u0.o_img_row02\[12\],34.27µm
_01388_,34.22µm
_04952_,34.21µm
_02263_,34.2µm
_03596_,34.2µm
_01360_,34.195µm
_01495_,34.14µm
_02562_,34.14µm
cnn_inst.comm_mem_u0.o_img_row04\[11\],34.1µm
_05211_,34.095µm
cnn_inst.comm_mem_u0.spi_u0.bit_count\[2\],34.09µm
net437,34.07µm
cnn_inst.comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[24\],34.04µm
_06757_,34.03µm
_01984_,33.96µm
_05214_,33.93µm
_02005_,33.92µm
_04667_,33.9µm
_02917_,33.84µm
_01381_,33.805µm
cnn_inst.comm_mem_u0.o_img_row07\[25\],33.72µm
_06277_,33.62µm
_01349_,33.59µm
_03461_,33.49µm
_02491_,33.48µm
_03278_,33.48µm
cnn_inst.comm_mem_u0.o_img_row01\[2\],33.44µm
_03820_,33.43µm
_04997_,33.42µm
_05424_,33.38µm
_03781_,33.32µm
_02431_,33.3µm
_05392_,33.275µm
cnn_inst.comm_mem_u0.o_img_row00\[4\],33.25µm
_04631_,33.24µm
_02182_,33.235µm
_01385_,33.215µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[19\],33.215µm
_03846_,33.21µm
_03549_,33.14µm
_05636_,33.14µm
_02539_,33.075µm
_02056_,33.06µm
_04640_,33.06µm
_04615_,33.055µm
_05121_,33µm
_05385_,32.995µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.state\[6\],32.995µm
_03307_,32.96µm
_06207_,32.94µm
_01699_,32.935µm
_05717_,32.835µm
_06169_,32.815µm
_06083_,32.76µm
_01773_,32.755µm
cnn_inst.comm_mem_u0.o_img_row05\[1\],32.72µm
_02022_,32.66µm
_03771_,32.64µm
_01365_,32.555µm
_05475_,32.52µm
_03363_,32.515µm
_05486_,32.515µm
cnn_inst.comm_mem_u0.spi_u0.miso_count\[1\],32.505µm
_02008_,32.48µm
_06174_,32.48µm
_03165_,32.425µm
_02633_,32.4µm
_03673_,32.4µm
_05108_,32.37µm
_02257_,32.365µm
_05878_,32.335µm
_04042_,32.28µm
_04193_,32.24µm
_03793_,32.225µm
_01946_,32.18µm
_05456_,32.18µm
_04607_,32.16µm
_06807_,32.16µm
cnn_inst.comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[10\],32.095µm
_02841_,32.06µm
_01707_,32.05µm
_04390_,32.035µm
_05333_,32.025µm
net434,31.995µm
_02642_,31.99µm
cnn_inst.comm_mem_u0.o_wgt_row01\[10\],31.985µm
net347,31.97µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[14\],31.945µm
_04724_,31.87µm
_05526_,31.87µm
_02884_,31.865µm
_01792_,31.86µm
_04852_,31.86µm
_01804_,31.82µm
_03403_,31.81µm
_04375_,31.81µm
_03399_,31.8µm
_04990_,31.795µm
cnn_inst.comm_mem_u0.o_img_row05\[5\],31.79µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[1\],31.76µm
_03684_,31.745µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_done,31.74µm
_03244_,31.705µm
_01595_,31.685µm
_03934_,31.615µm
_01329_,31.58µm
_01361_,31.56µm
_03454_,31.445µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[14\],31.435µm
_04721_,31.415µm
_04302_,31.34µm
_04371_,31.32µm
cnn_inst.comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[5\],31.275µm
_03885_,31.23µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[52\],31.15µm
cnn_inst.acc1\[14\],31.115µm
_03929_,31.11µm
_04452_,31.1µm
_02538_,31.095µm
_06281_,31.09µm
cnn_inst.acc0\[6\],31.09µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.state\[2\],31.09µm
cnn_inst.proc_u0.cnn_ctrl_u0.state\[7\],31.09µm
_02590_,31.055µm
_06429_,31.025µm
_01357_,30.985µm
_03761_,30.94µm
_01391_,30.905µm
_04121_,30.9µm
cnn_inst.comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[21\],30.895µm
_05925_,30.855µm
_02055_,30.84µm
_02063_,30.825µm
_02799_,30.68µm
_03204_,30.68µm
_05557_,30.68µm
_01763_,30.55µm
_06250_,30.55µm
_01854_,30.48µm
_04099_,30.48µm
cnn_inst.acc0\[1\],30.44µm
_05937_,30.37µm
_03215_,30.295µm
_01616_,30.285µm
cnn_inst.comm_mem_u0.spi_u0.miso_count\[3\],30.285µm
_04588_,30.275µm
_02487_,30.24µm
_05232_,30.21µm
_01870_,30.2µm
_01358_,30.18µm
_04704_,30.145µm
_04403_,30.12µm
cnn_inst.comm_mem_u0.o_img_row09\[10\],30.03µm
_04817_,30.01µm
_04566_,29.995µm
_01354_,29.96µm
_02437_,29.94µm
_03954_,29.94µm
_04556_,29.9µm
_03173_,29.82µm
_01390_,29.78µm
_01396_,29.775µm
_02736_,29.77µm
_05565_,29.77µm
cnn_inst.comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[26\],29.715µm
_05080_,29.71µm
cnn_inst.comm_mem_u0.o_img_row05\[0\],29.71µm
_04295_,29.7µm
_06023_,29.695µm
_03829_,29.685µm
net289,29.68µm
_03114_,29.665µm
_04796_,29.635µm
cnn_inst.comm_mem_u0.spi_u0.loader_image_sm.i_ROW\[3\],29.63µm
_04943_,29.61µm
cnn_inst.comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[8\],29.545µm
_02382_,29.53µm
cnn_inst.comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[2\],29.52µm
_01926_,29.47µm
_02441_,29.46µm
_04859_,29.46µm
cnn_inst.comm_mem_u0.mr1_out\[11\],29.46µm
cnn_inst.comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[0\],29.35µm
_02861_,29.345µm
_05961_,29.29µm
_04601_,29.24µm
_02576_,29.235µm
_02596_,29.23µm
_02531_,29.22µm
_05979_,29.17µm
_03055_,29.05µm
_05502_,29.05µm
_03886_,29.04µm
_04037_,29.04µm
_03966_,29.015µm
_03432_,28.99µm
_05382_,28.95µm
cnn_inst.comm_mem_u0.o_wgt_row03\[11\],28.93µm
_02589_,28.92µm
_05135_,28.895µm
_03336_,28.885µm
_05554_,28.81µm
_03868_,28.8µm
net93,28.745µm
_04762_,28.74µm
cnn_inst.comm_mem_u0.o_img_row07\[18\],28.725µm
_01378_,28.72µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[24\],28.715µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_acc\[14\],28.705µm
_05391_,28.68µm
_04810_,28.675µm
cnn_inst.comm_mem_u0.spi_u0.loader_weight_sm.weight_latch\[1\],28.66µm
_06750_,28.635µm
_04501_,28.6µm
_03382_,28.595µm
_06219_,28.58µm
_05479_,28.56µm
cnn_inst.comm_mem_u0.o_wgt_row01\[1\],28.525µm
_03620_,28.5µm
_01320_,28.45µm
_05646_,28.41µm
_02909_,28.39µm
_04261_,28.39µm
_01852_,28.38µm
_02090_,28.365µm
cnn_inst.comm_mem_u0.spi_u0.loader_image_sm.row_latch\[3\],28.33µm
_04611_,28.32µm
_04577_,28.315µm
_05435_,28.27µm
cnn_inst.comm_mem_u0.spi_u0.loader_weight_sm.weight_latch\[2\],28.245µm
_01363_,28.22µm
_03659_,28.22µm
_03434_,28.205µm
_03491_,28.195µm
cnn_inst.comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[6\],28.18µm
_04000_,28.17µm
_04914_,28.16µm
net350,28.115µm
_01558_,28.09µm
_06548_,28.08µm
net1,28.08µm
cnn_inst.comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[25\],28.075µm
_04786_,28.05µm
_03437_,28.025µm
_01577_,27.98µm
_03423_,27.97µm
_04688_,27.97µm
cnn_inst.comm_mem_u0.mr2_out\[1\],27.97µm
_01374_,27.935µm
_03779_,27.9µm
_05128_,27.9µm
cnn_inst.comm_mem_u0.spi_u0.cmd\[1\],27.89µm
_01370_,27.87µm
_02065_,27.84µm
_01800_,27.79µm
_01389_,27.78µm
cnn_inst.comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[24\],27.74µm
_05781_,27.72µm
_03319_,27.715µm
_06210_,27.7µm
cnn_inst.comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[8\],27.665µm
_05306_,27.66µm
_01569_,27.61µm
cnn_inst.comm_mem_u0.mr2_out\[2\],27.61µm
_02733_,27.6µm
_04384_,27.6µm
cnn_inst.comm_mem_u0.o_img_row04\[15\],27.6µm
_01594_,27.56µm
_04569_,27.55µm
_04598_,27.49µm
_01698_,27.48µm
_02360_,27.48µm
_04326_,27.475µm
_03892_,27.47µm
cnn_inst.comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[19\],27.465µm
_04097_,27.435µm
_06271_,27.32µm
_03636_,27.295µm
_04181_,27.24µm
cnn_inst.comm_mem_u0.mr1_out\[10\],27.225µm
_06177_,27.2µm
_05414_,27.175µm
_02833_,27.15µm
cnn_inst.comm_mem_u0.spi_u0.loader_weight_sm.i_WROW\[0\],27.14µm
_04395_,27.12µm
_03948_,27.09µm
cnn_inst.comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[11\],27.085µm
_06233_,27.08µm
_02230_,27.04µm
_04689_,27.01µm
cnn_inst.comm_mem_u0.o_wgt_row03\[12\],27.01µm
_03071_,27µm
_06178_,27µm
_04053_,26.985µm
_05830_,26.965µm
_03830_,26.955µm
_05298_,26.95µm
_04816_,26.91µm
cnn_inst.comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[20\],26.905µm
_04676_,26.9µm
_02639_,26.89µm
_02291_,26.88µm
_01384_,26.865µm
_02607_,26.83µm
_04138_,26.82µm
_05567_,26.78µm
_02990_,26.77µm
_03909_,26.76µm
net426,26.755µm
_06172_,26.675µm
_03446_,26.625µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[69\],26.625µm
cnn_inst.comm_mem_u0.mr1_out\[15\],26.58µm
_01847_,26.54µm
_02674_,26.53µm
_02508_,26.525µm
_03849_,26.515µm
_02416_,26.46µm
_03911_,26.405µm
_02740_,26.34µm
_04940_,26.34µm
_02224_,26.3µm
_05480_,26.3µm
_05485_,26.16µm
_06270_,26.16µm
cnn_inst.comm_mem_u0.o_wgt_row01\[6\],26.155µm
_02729_,26.12µm
_05361_,26.11µm
cnn_inst.comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[0\],26.11µm
_01613_,26.105µm
_05279_,26.1µm
_03008_,26.05µm
_03642_,26.05µm
_06279_,26.05µm
_03626_,26.04µm
_05413_,26.04µm
_04723_,26.03µm
_04899_,25.945µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[10\],25.945µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[58\],25.94µm
_03158_,25.93µm
_04524_,25.93µm
_06180_,25.89µm
_04516_,25.87µm
_04918_,25.87µm
_05504_,25.86µm
_01322_,25.82µm
_01417_,25.81µm
_03317_,25.8µm
_03405_,25.8µm
_01675_,25.78µm
_05047_,25.74µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.conv_out\[0\],25.74µm
_04824_,25.7µm
cnn_inst.comm_mem_u0.reg_img_u2.Register_Imag_DataInBUS\[12\],25.695µm
cnn_inst.comm_mem_u0.o_img_row01\[8\],25.69µm
cnn_inst.comm_mem_u0.reg_img_u6.Register_Imag_DataInBUS\[14\],25.685µm
_05978_,25.68µm
cnn_inst.comm_mem_u0.o_wgt_row03\[14\],25.64µm
_03818_,25.63µm
_04681_,25.63µm
_05873_,25.615µm
_02655_,25.61µm
_03018_,25.58µm
_01853_,25.57µm
_02698_,25.57µm
