net,length_um
cnn_inst.comm_mem_u0.o_img_row09\[2\],282.365µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[8\],282.055µm
cnn_inst.comm_mem_u0.o_img_row02\[23\],281.625µm
cnn_inst.comm_mem_u0.o_img_row08\[16\],281.17µm
_02134_,280.515µm
net837,280.495µm
net44,279.92µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[3\],279.47µm
net609,278.29µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[44\],276.125µm
_06431_,275.935µm
cnn_inst.comm_mem_u0.o_img_row06\[10\],275.665µm
net243,275.575µm
_02512_,274.835µm
net726,274.83µm
net43,274.81µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[55\],274.34µm
cnn_inst.comm_mem_u0.o_img_row06\[5\],273.865µm
net612,273.14µm
cnn_inst.comm_mem_u0.o_img_row03\[3\],272.505µm
net742,272.49µm
_02032_,272.115µm
_01820_,272.035µm
net593,271.175µm
_01827_,271.16µm
net544,270.715µm
_04454_,270.66µm
net1074,270.555µm
net120,269.65µm
cnn_inst.comm_mem_u0.o_img_row05\[8\],269.475µm
net784,267.545µm
cnn_inst.comm_mem_u0.o_img_row04\[12\],267.3µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[41\],267.155µm
cnn_inst.comm_mem_u0.o_wgt_row00\[7\],266.42µm
cnn_inst.comm_mem_u0.o_img_row07\[4\],266.27µm
net45,264.42µm
net182,264.21µm
cnn_inst.comm_mem_u0.o_img_row09\[3\],263.36µm
_03522_,263.025µm
cnn_inst.comm_mem_u0.o_img_row03\[27\],262.84µm
net59,262.835µm
cnn_inst.comm_mem_u0.o_img_row06\[16\],262.73µm
cnn_inst.comm_mem_u0.o_img_row05\[26\],262.595µm
net380,262.32µm
net18,262.125µm
net116,261.47µm
_05192_,260.845µm
net15,260.66µm
_01844_,260.28µm
net260,258.43µm
net200,258.235µm
net627,256.15µm
cnn_inst.comm_mem_u0.o_img_row03\[18\],256.05µm
net772,255.97µm
net607,255.23µm
_01829_,255.1µm
_04166_,254.995µm
net38,254.515µm
cnn_inst.comm_mem_u0.o_img_row05\[12\],254.3µm
cnn_inst.comm_mem_u0.o_img_row02\[26\],253.965µm
net269,253.505µm
net67,253.405µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[18\],253.31µm
_03663_,253.205µm
net396,253.195µm
net199,252.845µm
net342,252.685µm
net588,251.795µm
net348,250.42µm
net808,250.38µm
_06113_,250.21µm
net773,249.96µm
net314,248.97µm
_06331_,248.65µm
_04793_,248.58µm
_01985_,248.005µm
cnn_inst.comm_mem_u0.o_img_row05\[29\],247.94µm
net2,247.93µm
_02235_,247.745µm
_01824_,247.605µm
net190,247.515µm
net583,247.495µm
net180,246.615µm
net141,246.565µm
net398,245.75µm
_06430_,245.175µm
net5,245.17µm
_03511_,245.13µm
_03665_,244.68µm
net32,244.46µm
_03959_,244.415µm
net957,244.12µm
_02567_,243.625µm
net485,243.385µm
net13,242.985µm
cnn_inst.comm_mem_u0.o_img_row03\[2\],242.885µm
_02876_,242.855µm
net960,242.605µm
net467,242.505µm
_04841_,242.4µm
net894,242.28µm
net140,242.225µm
net592,240.47µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[1\],240.08µm
net231,239.175µm
net602,238.87µm
_06114_,238.44µm
net108,238.42µm
_02783_,237.93µm
net851,237.21µm
cnn_inst.comm_mem_u0.o_img_row08\[12\],237.18µm
cnn_inst.comm_mem_u0.o_img_row07\[2\],237.085µm
net201,236.855µm
net465,236.71µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[3\],236.49µm
_03682_,236.335µm
_02622_,235.83µm
net198,234.6µm
net691,233.615µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[35\],233.51µm
cnn_inst.comm_mem_u0.o_img_row05\[14\],233.48µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[21\],233.31µm
net375,233.245µm
cnn_inst.comm_mem_u0.o_img_row03\[6\],232.68µm
_02423_,232.31µm
_02081_,232.285µm
net273,232.24µm
net144,231.815µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[71\],231.745µm
net370,230.965µm
_01943_,229.91µm
net642,229.885µm
net475,229.74µm
_03568_,229.31µm
_02838_,229.285µm
net408,229.24µm
net237,228.94µm
net626,228.935µm
cnn_inst.comm_mem_u0.o_img_row00\[9\],228.14µm
cnn_inst.comm_mem_u0.o_img_row06\[12\],227.7µm
net71,227.215µm
cnn_inst.comm_mem_u0.o_wgt_row00\[6\],227.19µm
_03220_,227.01µm
net158,226.415µm
net777,226.38µm
_05247_,226.08µm
net74,225.85µm
_03391_,225.55µm
net746,225.14µm
cnn_inst.comm_mem_u0.o_img_row04\[4\],224.975µm
net505,224.95µm
cnn_inst.comm_mem_u0.o_img_row02\[21\],224.935µm
cnn_inst.comm_mem_u0.o_img_row07\[5\],224.895µm
cnn_inst.comm_mem_u0.o_img_row05\[13\],224.165µm
net68,224.055µm
net484,224µm
net571,223.935µm
_05250_,223.66µm
net54,223.595µm
net30,223.46µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[30\],223.335µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[31\],223.335µm
_04765_,222.765µm
_04265_,222.605µm
net405,222.495µm
net373,222.465µm
net46,222.105µm
_02439_,221.71µm
net49,221.685µm
cnn_inst.comm_mem_u0.o_img_row06\[4\],221.575µm
net143,221.24µm
_02962_,221.095µm
net323,220.97µm
net1073,220.53µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[56\],219.895µm
_03753_,219.65µm
net988,219.14µm
_01830_,218.905µm
net730,218.905µm
_06120_,218.83µm
net816,218.785µm
_03223_,218.625µm
_03450_,218.495µm
_04108_,218.37µm
_06464_,218.315µm
cnn_inst.comm_mem_u0.o_img_row09\[4\],218.285µm
net27,218.19µm
net756,218.12µm
_03052_,218.08µm
cnn_inst.comm_mem_u0.o_img_row01\[27\],217.91µm
_01927_,217.7µm
net857,217.12µm
