Metric,Value
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,0
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19117
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19826
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00882879
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00208968
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000524562
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00208968
design_powergrid__voltage__worst,0.00208968
design_powergrid__voltage__worst__net:VPWR,1.19117
design_powergrid__drop__worst,0.00882879
design_powergrid__drop__worst__net:VPWR,0.00882879
design_powergrid__voltage__worst__net:VGND,0.00208968
design_powergrid__drop__worst__net:VGND,0.00208968
ir__voltage__worst,1.189999999999999946709294817992486059665679931640625
ir__drop__avg,0.00174000000000000001020017403874362571514211595058441162109375
ir__drop__worst,0.00882999999999999930777594414621489704586565494537353515625
design__xor_difference__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
