_067_,4.09µm
net75,4.02µm
spm_inst.genblk1\[6\].csa.sc,3.96µm
net1,3.9µm
net6,3.9µm
net63,3.9µm
_042_,3.78µm
_072_,3.66µm
_051_,3.61µm
spm_inst.genblk1\[11\].csa.hsum2,3.54µm
net60,3.54µm
net66,3.54µm
spm_inst.genblk1\[11\].csa.sc,3.48µm
net71,3.48µm
net91,3.48µm
_041_,3.42µm
spm_inst.genblk1\[1\].csa.sc,3.42µm
net16,3.42µm
net87,3.42µm
net98,3.24µm
_023_,3.235µm
_068_,3.19µm
spm_inst.genblk1\[13\].csa.sc,3µm
spm_inst.tcmp.z,3µm
spm_inst.genblk1\[4\].csa.sc,2.94µm
net86,2.94µm
_027_,2.82µm
spm_inst.genblk1\[8\].csa.sc,2.755µm
net89,2.66µm
_022_,2.65µm
_015_,2.58µm
spm_inst.genblk1\[3\].csa.hsum2,2.58µm
spm_inst.genblk1\[8\].csa.hsum2,2.58µm
net54,2.58µm
spm_inst.genblk1\[10\].csa.sc,2.52µm
spm_inst.genblk1\[2\].csa.sc,2.52µm
net8,2.28µm
net68,2.28µm
spm_inst.genblk1\[14\].csa.hsum2,2.1µm
spm_inst.genblk1\[7\].csa.hsum2,2.1µm
net45,2.1µm
net9,1.8µm
net10,1.8µm
net11,1.8µm
net14,1.8µm
net15,1.8µm
net47,1.44µm
spm_inst.genblk1\[3\].csa.y,1.38µm
_008_,0.96µm
net81,0.96µm
