2026-03-06 05:32:02 +0000: Memory Usage (453480K) : psd_drw has 47602 polygons
2026-03-06 05:32:02 +0000: Memory Usage (453480K) : nldb_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (453480K) : digibnd_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : via1_drw has 36144 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : backmetal1_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : backmetal1_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : backmetal1_mask has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : backmetal1_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : backmetal1_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : backmetal1_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : backmetal1_text has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (454888K) : backmetal1_opc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455144K) : backmetal1_noqrc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455144K) : backmetal1_res has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455144K) : backmetal1_iprobe has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455144K) : backmetal1_diffprb has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455144K) : backpassiv_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455144K) : res_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455144K) : sram_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455144K) : trans_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455272K) : ind_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455272K) : ind_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455400K) : ind_text has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (455400K) : salblock_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (456808K) : via2_drw has 34628 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457192K) : metal3_drw has 27821 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457192K) : metal3_pin has 8 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457192K) : metal3_mask has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457192K) : metal3_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457192K) : metal3_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457192K) : metal3_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457576K) : metal3_text has 2122 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457576K) : metal3_opc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457576K) : metal3_noqrc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457576K) : metal3_res has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457576K) : metal3_iprobe has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457704K) : metal3_diffprb has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457832K) : nwell_drw has 23728 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457832K) : nwell_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457832K) : nbulay_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457960K) : nbulay_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (457960K) : nbulay_block has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458088K) : emwind_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458088K) : emwind_opc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458216K) : deepco_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458216K) : deepco_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458344K) : mim_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458344K) : edgeseal_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458472K) : edgeseal_bound has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458472K) : substrate_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458600K) : substrate_text has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458600K) : dfpad_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458728K) : dfpad_pillar has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458728K) : dfpad_sbump has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458856K) : thickgateox_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458856K) : pldb_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458984K) : pwell_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (458984K) : pwell_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459112K) : pwell_block has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459112K) : ic_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459368K) : via3_drw has 8294 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459624K) : metal4_drw has 3843 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459624K) : metal4_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459752K) : metal4_mask has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459752K) : metal4_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459880K) : metal4_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (459880K) : metal4_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460008K) : metal4_text has 110 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460008K) : metal4_opc has 0 polygons
